2019-08-09 19:50:53.430 [Thread-26] INFO  o.s.c.netflix.eureka.server.EurekaServerBootstrap - Eureka data center value eureka.datacenter is not set, defaulting to default
2019-08-09 19:50:53.430 [Thread-26] INFO  o.s.c.netflix.eureka.server.EurekaServerBootstrap - Eureka environment value eureka.environment is not set, defaulting to test
2019-08-09 19:50:53.430 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8761"]
2019-08-09 19:50:53.430 [Thread-26] INFO  o.s.c.netflix.eureka.server.EurekaServerBootstrap - isAws returned false
2019-08-09 19:50:53.445 [Thread-26] INFO  o.s.c.netflix.eureka.server.EurekaServerBootstrap - Initialized server context
2019-08-09 19:50:53.445 [Thread-26] INFO  c.n.eureka.registry.PeerAwareInstanceRegistryImpl - Got 1 instances from neighboring DS node
2019-08-09 19:50:53.445 [Thread-26] INFO  c.n.eureka.registry.PeerAwareInstanceRegistryImpl - Renew threshold is: 1
2019-08-09 19:50:53.445 [Thread-26] INFO  c.n.eureka.registry.PeerAwareInstanceRegistryImpl - Changing status to UP
2019-08-09 19:50:53.445 [Thread-26] INFO  o.s.c.n.e.s.EurekaServerInitializerConfiguration - Started Eureka Server
2019-08-09 19:50:53.461 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8761 (http) with context path ''
2019-08-09 19:50:53.461 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8761
2019-08-09 19:50:53.461 [main] INFO  com.example.gradleDemo.Application - Started Application in 8.161 seconds (JVM running for 8.945)
2019-08-09 19:50:53.570 [RMI TCP Connection(1)-192.168.198.1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-08-09 19:50:53.570 [RMI TCP Connection(1)-192.168.198.1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-08-09 19:50:53.570 [RMI TCP Connection(1)-192.168.198.1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2019-08-09 19:51:37.112 [http-nio-8761-exec-3] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance WEATHER-DATA-COLLECTION-EUREKA/localhost:weather-data-collection-eureka:8880 with status UP (replication=false)
2019-08-09 19:51:53.446 [Eureka-EvictionTimer] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2019-08-09 19:51:54.726 [http-nio-8761-exec-3] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance WEATHER-DATA-COLLECTION-EUREKA/localhost:weather-data-collection-eureka:8880 with status DOWN (replication=false)
2019-08-09 19:52:04.764 [Thread-28] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Unregistering application UNKNOWN with eureka with status DOWN
2019-08-09 19:52:04.764 [Thread-28] INFO  com.netflix.eureka.DefaultEurekaServerContext - Shutting down ...
2019-08-09 19:52:04.780 [Thread-28] INFO  com.netflix.eureka.DefaultEurekaServerContext - Shut down
2019-08-09 19:52:04.780 [Thread-28] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-08-09 19:52:04.780 [Thread-28] INFO  com.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
2019-08-09 19:52:04.780 [Thread-28] INFO  com.netflix.discovery.DiscoveryClient - Completed shut down of DiscoveryClient
2019-08-09 19:52:13.719 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$e45cc05e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-09 19:52:15.000 [main] INFO  com.example.gradleDemo.Application - The following profiles are active: eureka
